region,province,city,barangay,precinct,position,candidate,votes,percentage
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,17 AKO MUSIKERO,2,0.42 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,18 AKO BICOL,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,19 PRAI,1,0.21 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,20 4PS,1,0.21 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,21 MAAGAP,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,22 ABANTE PILIPINAS,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,23 AKTIBONG KAAGAPAY,1,0.21 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,24 ALSA BISAYA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,25 PROBINSYANO AKO,3,0.63 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,26 YACAP,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,27 MAGDALO,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,28 ACT-CIS,32,6.79 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,29 HUGPONG FEDERAL,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,30 TGP,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,31 ONE COOP,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,32 BARKADAHAN,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,33 DUMPER PTDA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,34 MALABUNG,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,35 BH (BAGONG HENERASYON),0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,36 AKMA-PTM,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,37 IPATUPAD,11,2.33 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,38 PINUNO,2,0.42 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,39 LPGMA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,40 CLICK PARTY,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,41 TODA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,42 BHW,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,43 MALASAKIT@BAYANIHAN,76,16.13 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,44 ABS,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,45 PASAHERO PARTYLIST,1,0.21 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,46 ANGAT,5,1.06 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,47 SOLID-CHANGE,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,48 BICOL SARO,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,49 OFW,2,0.42 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,50 ANG PROBINSIYANO,11,2.33 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,51 ANAKALUSUGAN,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,52 PBA,1,0.21 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,53 PEACE,2,0.42 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,54 P3PWD,19,4.03 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,55 S.M.I.L.E,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,56 AAMBIS-OWA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,57 BUTIL,1,0.21 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,58 LUNAS,1,0.21 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,59 ANG KOMADRONA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,60 KABAKA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,61 SAGIP,3,0.63 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,62 ANG KABUHAYAN,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,63 AKO I.P.,1,0.21 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,64 PHILRECA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,65 BABAE AKO,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,66 KB,0,0.00 %
